Year,Continent,Avg LE
2000,Africa,55.35427728
,Americas,71.93408044
,Asia,68.95506543
,Europe,74.18872856
,Oceania,69.28149827
2001,Africa,55.59575012
,Americas,72.18011497
,Asia,69.33259519
,Europe,74.55125121
,Oceania,69.69432823
2002,Africa,55.86411746
,Americas,72.47722369
,Asia,69.66536209
,Europe,74.75851599
,Oceania,69.94389244
2003,Africa,56.24185127
,Americas,72.63612443
,Asia,70.0048408
,Europe,74.8659664
,Oceania,70.18901811
2004,Africa,56.71881953
,Americas,72.86144709
,Asia,70.36396489
,Europe,75.30381585
,Oceania,70.43153032
2005,Africa,57.2298819
,Americas,73.03874569
,Asia,70.66433864
,Europe,75.43295569
,Oceania,70.56772223
2006,Africa,57.8113295
,Americas,73.28990971
,Asia,71.00766439
,Europe,75.71986233
,Oceania,70.89014251
2007,Africa,58.45251613
,Americas,73.49389211
,Asia,71.31538643
,Europe,75.94975631
,Oceania,71.10795061
2008,Africa,59.10205092
,Americas,73.67364562
,Asia,71.6314235
,Europe,76.2983982
,Oceania,71.30725978
2009,Africa,59.76244625
,Americas,73.92003841
,Asia,71.97150951
,Europe,76.57611538
,Oceania,71.52839011
2010,Africa,60.41667139
,Americas,74.19247706
,Asia,72.23661467
,Europe,76.9114932
,Oceania,71.72559162
2011,Africa,61.04884975
,Americas,74.2950514
,Asia,72.51364982
,Europe,77.32570191
,Oceania,71.87397803
2012,Africa,61.69500944
,Americas,74.45847085
,Asia,72.79014694
,Europe,77.49745346
,Oceania,72.1000351
2013,Africa,62.26374486
,Americas,74.65070383
,Asia,73.07105483
,Europe,77.79503255
,Oceania,72.29589445
2014,Africa,62.81507062
,Americas,74.87156074
,Asia,73.3240708
,Europe,78.0940251
,Oceania,72.47121452
2015,Africa,63.33391033
,Americas,75.01788602
,Asia,73.56487188
,Europe,78.07507864
,Oceania,72.64119964
2016,Africa,63.78675017
,Americas,75.16632694
,Asia,73.79573582
,Europe,78.34937898
,Oceania,72.78111921
2017,Africa,64.19157739
,Americas,75.23765378
,Asia,74.03506802
,Europe,78.48940977
,Oceania,72.97491745
2018,Africa,64.52760577
,Americas,75.33157483
,Asia,74.24023388
,Europe,78.61870985
,Oceania,73.13660802
2019,Africa,64.86590702
,Americas,75.48273457
,Asia,74.44710176
,Europe,78.88476535
,Oceania,73.28194249
2020,Africa,65.16819855
,Americas,75.53358304
,Asia,74.56765719
,Europe,78.28989648
,Oceania,73.46355526